table_name,columnas
catalog_items,10
clientes,10
compra_items,11
compras_material,15
compras_proveedores,12
configuracion_negocio,7
consumo_materiales,5
consumo_tinta_pedido,12
cotizacion_items,7
cotizaciones,11
dolar,5
historial_binance,5
historial_precios,9
historial_tasa_binance,4
inventario_bajo,9
maquina_tinta_activa,8
maquinas,16
marcas_tinta,3
materiales,18
movimientos_caja,9
pedido_items,11
pedidos,32
pedidos_completos,17
producto_perfil_tinta,9
productos,17
productos_completos,9
productos_materiales,7
productos_materiales_consumo,7
proveedores,13
quote_items,10
quotes,16
solicitud_items,14
solicitudes_compra,10
tintas,23
trabajos,11
trabajos_completos,13
