table_schema,table_name,column_name,foreign_table_schema,foreign_table_name,foreign_column_name
public,compra_items,compra_id,public,compras_proveedores,id
public,compras_material,material_id,public,materiales,id
public,compras_proveedores,proveedor_id,public,proveedores,id
public,consumo_materiales,material_id,public,materiales,id
public,consumo_materiales,pedido_id,public,pedidos,id
public,consumo_tinta_pedido,tinta_id,public,tintas,id
public,consumo_tinta_pedido,pedido_id,public,pedidos,id
public,cotizacion_items,cotizacion_id,public,cotizaciones,id
public,cotizaciones,cliente_id,public,clientes,id
public,maquina_tinta_activa,tinta_id,public,tintas,id
public,maquina_tinta_activa,maquina_id,public,maquinas,id
public,movimientos_caja,pedido_id,public,pedidos,id
public,pedido_items,pedido_id,public,pedidos,id
public,pedido_items,producto_id,public,productos,id
public,pedidos,material_id,public,materiales,id
public,pedidos,cliente_id,public,clientes,id
public,pedidos,producto_id,public,productos,id
public,producto_perfil_tinta,producto_id,public,productos,id
public,productos,maquina_id,public,maquinas,id
public,productos,perfil_tinta_id,public,producto_perfil_tinta,id
public,productos_materiales,material_id,public,materiales,id
public,productos_materiales,producto_id,public,productos,id
public,productos_materiales_consumo,producto_id,public,productos,id
public,productos_materiales_consumo,material_id,public,materiales,id
public,quote_items,catalog_item_id,public,catalog_items,id
public,quote_items,quote_id,public,quotes,id
public,quotes,cliente_id,public,clientes,id
public,quotes,pedido_id,public,pedidos,id
public,solicitud_items,proveedor_id,public,proveedores,id
public,solicitud_items,solicitud_id,public,solicitudes_compra,id
public,trabajos,pedido_id,public,pedidos,id
